uri,type,dc.id,collection,notation,prefLabel,altLabel,broader,broaderTransitive,broadMatch,changeNote,closeMatch,definition,editorialNote,exactMatch,example,hiddenLabel,historyNote,inScheme,mappingRelation,note,related,relatedMatch,scopeNote,semanticRelation,topConceptOf
colt:fossieltypes,skos:Collection,fossieltypes,,,Collectie van fossieltypes.,,,,,,,,,,,,,cs,fossieltype,,,,,,
ct:684,skos:Concept,684,colt:fossieltypes,,Acritarchen,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:105,skos:Concept,105,colt:fossieltypes,,Acrolepis sp.,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:161,skos:Concept,161,colt:fossieltypes,,Actaeon sp.,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:187,skos:Concept,187,colt:fossieltypes,,Actinocamax quadratus,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:188,skos:Concept,188,colt:fossieltypes,,Actinocamax sp.,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:411,skos:Concept,411,colt:fossieltypes,,Adiantites sessilis,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:97,skos:Concept,97,colt:fossieltypes,,Adiantites sp.,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:412,skos:Concept,412,colt:fossieltypes,,Alethopteris davreuxi,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:264,skos:Concept,264,colt:fossieltypes,,Alethopteris decurrens,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:413,skos:Concept,413,colt:fossieltypes,,Alethopteris decurrens var. Gracillima,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:414,skos:Concept,414,colt:fossieltypes,,Alethopteris gracillima,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:265,skos:Concept,265,colt:fossieltypes,,Alethopteris lonchitica,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:606,skos:Concept,606,colt:fossieltypes,,Alethopteris lonchitica decurrens,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:251,skos:Concept,251,colt:fossieltypes,,Alethopteris lonchitifolia davreuxi,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:266,skos:Concept,266,colt:fossieltypes,,Alethopteris serli,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:608,skos:Concept,608,colt:fossieltypes,,Alethopteris serli lonchitifolia,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:18,skos:Concept,18,colt:fossieltypes,,Alethopteris sp.,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:415,skos:Concept,415,colt:fossieltypes,,Alethopteris valida,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:71,skos:Concept,71,colt:fossieltypes,,algaire mat / laminiet,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:196,skos:Concept,196,colt:fossieltypes,,algen,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:638,skos:Concept,638,colt:fossieltypes,,ammonieten,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:416,skos:Concept,416,colt:fossieltypes,,Annularia gallioides,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:410,skos:Concept,410,colt:fossieltypes,,Annularia microphylla,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:261,skos:Concept,261,colt:fossieltypes,,Annularia radiata,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:417,skos:Concept,417,colt:fossieltypes,,Annularia ramosa,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:19,skos:Concept,19,colt:fossieltypes,,Annularia sp.,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:399,skos:Concept,399,colt:fossieltypes,,Annularia sphenophylloides,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:683,skos:Concept,683,colt:fossieltypes,,Anomia lamellosa,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:656,skos:Concept,656,colt:fossieltypes,,Anomia sp.,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:418,skos:Concept,418,colt:fossieltypes,,Anomya sp.,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:255,skos:Concept,255,colt:fossieltypes,,Anomya (Terebratula),,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:112,skos:Concept,112,colt:fossieltypes,,Anthracoceras sp.,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:419,skos:Concept,419,colt:fossieltypes,,Anthracomya discordata,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:267,skos:Concept,267,colt:fossieltypes,,Anthracomya minima,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:420,skos:Concept,420,colt:fossieltypes,,Anthracomya minima Phillipsii,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:268,skos:Concept,268,colt:fossieltypes,,Anthracomya modiolaris,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:421,skos:Concept,421,colt:fossieltypes,,Anthracomya oblonga,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:269,skos:Concept,269,colt:fossieltypes,,Anthracomya philippsi,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
