uri,dc.identifier,notation,prefLabel,definition,note,inScheme,topConceptOf
conceptscheme:fossieltype,be.vlaanderen.bodemenondergrond.data.id.conceptscheme.fossieltype,,Lijst van fossieltypes,,,,
concept:-1,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.-1,-1,onbepaald,onbepaald,onbepaald,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:0,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.0,0,onbepaalde fauna,onbepaalde fauna / dierlijke resten,fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:1,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.1,1,onbepaalde flora / plantenresten,onbepaalde flora / plantenresten,flora,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:2,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.2,2,onbepaald ichnofossiel,onbepaald ichnofossiel / sporenfossiel,ichnofossiel,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:3,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.3,3,Spirorbis sp.,Spirorbis sp.,fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:4,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.4,4,Lingula sp.,Lingula sp.,fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:5,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.5,5,Carbonicola sp.,Carbonicola sp.,zoetwaterfauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:6,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.6,6,Anthracosia sp.,Anthracosia sp.,zoetwaterfauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:7,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.7,7,Anthracosphaerum sp.,Anthracosphaerum sp.,onbepaald,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:8,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.8,8,Anthracomya sp.,Anthracomya sp.,zoetwaterfauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:9,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.9,9,Anthraconaia sp.,Anthraconaia sp.,brakwaterfauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:10,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.10,10,Anthraconauta sp.,Anthraconauta sp.,zoetwaterfauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:11,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.11,11,Curvirimula sp.,Curvirimula sp.,brakwaterfauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:12,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.12,12,Naiadites sp.,Naiadites sp.,brakwaterfauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:13,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.13,13,Cyzicus (Estheria) sp.,Cyzicus (Estheria) sp.,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:14,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.14,14,Leaia sp.,Leaia sp.,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:15,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.15,15,ostracoden,Ostracoden (mosselkreeftjes),fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:16,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.16,16,Geisina sp.,Geisina sp.,brakwaterfauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:17,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.17,17,visresten,visresten,fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
